cluster,gene,logfoldchanges,pvals_adj,scores
1,axo10.A1B,1.6307518,1.7681937485802717e-21,9.651878
1,axo12.G9,1.5556879,2.5047824593173833e-21,9.615177
1,axo15.F9B,1.7101626,3.000163072648358e-21,9.596279
1,axo20.H3B,3.201762,3.3509686221449004e-21,9.584561
1,axo29.F10A,1.4817789,3.376664932030042e-21,9.583465
1,axo15.F3B,1.4580007,3.685482216773521e-21,9.574119
1,axo15.F10B,1.4605445,6.026143929587515e-21,9.522862
1,axo29.A9A,1.4604918,6.0369685991210774e-21,9.522369
1,axo15.D12,1.8156134,6.371836111982942e-21,9.51623
1,axo10.G9,1.3435518,6.5315136752337e-21,9.513269
1,axo20.F4B,2.8993952,9.939918424072302e-21,9.468894
1,axo12.D2,2.1779075,1.3004780220039941e-20,9.440168
1,axo15.F4,1.5823535,1.3048966789685072e-20,9.439511
1,axo15.C9,1.4112128,1.3814488016130197e-20,9.432933
1,axo10.C12,1.4845049,1.5437083944008907e-20,9.420681
1,axo29.G7B,1.6242902,2.0711006835498325e-20,9.389475
1,axo7.D4B,1.9126878,2.306584745552322e-20,9.377826
1,axo10.H2B,1.624849,2.7470754644982445e-20,9.359078
1,axo20.H10B,2.4924698,2.915607505538095e-20,9.352486
1,axo13.G6B,1.510084,3.657447442841913e-20,9.328188
1,axo12.B1,1.7244167,7.457974672530913e-20,9.251455
1,axo6.F6B,1.6267043,9.800758287073992e-20,9.221621
1,axo15.D8,1.3561915,1.211402904289584e-19,9.198281
1,axo20.F8A,2.0830882,1.7282737687879577e-19,9.159716
1,axo21.C9A,1.7553768,2.2748710323269023e-19,9.129717
1,axo10.C1,1.2946504,3.321109858636145e-19,9.088068
1,axo20.F10A,2.6255972,3.342272873029547e-19,9.087081
1,axo10.F7,1.6339713,3.3793090712792744e-19,9.0855875
1,axo6.H6B,1.7086414,3.664092357254711e-19,9.076488
1,axo6.C8B,1.6498817,4.0839893758664717e-19,9.064373
1,axo21.H10B,1.5218148,5.696142905395681e-19,9.027438
1,axo10.A11B,1.6889967,6.385110252916666e-19,9.014638
1,axo15.B8,1.5226401,7.110877297267982e-19,9.002537
1,axo20.E3A,2.2622807,2.5881252846603e-18,8.858158
1,axo15.G5,1.892925,2.7655180512539047e-18,8.85047
1,axo10.C10,1.5049573,3.0951550278959554e-18,8.837602
1,axo20.A1A,2.4196649,4.186363326852002e-18,8.803203
1,axo10.H10,1.1837957,6.2606241665782194e-18,8.757648
1,axo15.C12B,1.4102511,6.739467807754825e-18,8.749042
1,axo13.H12B,1.3780606,1.1195693409770623e-17,8.690989
1,axo15.A12B,1.5353816,1.3238388619883644e-17,8.671638
1,axo29.B7A,1.2481997,1.8152296127598286e-17,8.635334
1,axo15.H4B,1.3390691,2.0271410384004256e-17,8.62241
1,axo15.F2,1.4866769,2.0499970556973276e-17,8.620834
1,axo12.G10,1.467092,2.272565282646957e-17,8.608733
1,axo21.F1B,1.2929828,2.3478552341986535e-17,8.604704
1,axo15.G7B,1.362208,3.746710506978864e-17,8.549474
1,axo10.C8B,1.3201487,6.870470264895607e-17,8.478621
1,axo21.G3B,1.3991573,6.906854887140183e-17,8.477716
1,axo10.A6B,1.4417406,8.091652595113566e-17,8.4589815
1,axo21.F12B,1.4365699,1.0048228626305073e-16,8.432819
1,axo7.C3B,1.342368,1.1688394724545657e-16,8.414825
1,axo10.B9B,1.5667232,1.1772052579579869e-16,8.413702
1,axo21.F5A,1.6025171,1.3403188160957524e-16,8.397901
1,axo16.D8B,1.3305913,1.349281008750339e-16,8.3968315
1,axo21.G1A,1.6385807,1.4947342031613501e-16,8.384511
1,axo10.B8,1.2597506,1.984897088540871e-16,8.35051
1,axo10.B10,1.181507,2.921207036043361e-16,8.3044615
1,axo11.C6B,1.3034538,3.9587963071762356e-16,8.268007
1,axo15.F1B,1.2601904,5.359372828467598e-16,8.230662
1,axo10.F8B,1.4751927,6.700748917680858e-16,8.203294
1,axo10.B12,1.283401,7.088321388053921e-16,8.19625
1,axo21.G2B,1.5390362,1.038176671788994e-15,8.149092
1,axo15.H9B,1.2724035,1.4121365921845593e-15,8.110951
1,axo29.G10A,1.3356751,1.477521499898217e-15,8.105168
1,axo6.E12B,1.3926115,1.5457170803963767e-15,8.099399
1,axo21.H6A,1.6124113,1.5468445859760565e-15,8.099029
1,axo21.E9A,1.525665,1.5894932932756121e-15,8.095438
1,axo15.B6B,1.2393203,1.592279936461846e-15,8.094945
1,axo15.D2,1.2517217,1.6297430843961043e-15,8.091833
1,axo15.A3B,1.2036995,2.3805198897208678e-15,8.045005
1,axo12.D3,1.4867417,2.406935189576558e-15,8.043374
1,axo10.C2,1.276075,2.747096853667838e-15,8.026887
1,axo10.F9,1.1293564,2.852303061808944e-15,8.021995
1,axo10.G10,1.4544098,4.180547213909259e-15,7.973795
1,axo21.E12B,1.4032161,4.529858330628115e-15,7.9635987
1,axo7.F6B,1.3279573,5.559653914540983e-15,7.9376698
1,axo15.C7B,1.4866141,7.004219573323098e-15,7.9086843
1,axo16.E8B,1.2432289,7.143392636098286e-15,7.9059567
1,axo21.C8B,1.2863157,7.42525215315533e-15,7.900859
1,axo21.D8B,1.3160571,8.284673199843179e-15,7.886921
1,axo16.D6B,1.3774244,9.067148696880653e-15,7.875094
1,axo15.A10B,1.159883,1.0085548081745979e-14,7.861499
1,axo15.B10B,1.3743765,1.009652142186568e-14,7.861088
1,axo21.A12B,1.2034104,1.3358276342057247e-14,7.825675
1,axo15.E12B,1.2282438,1.4762067552998236e-14,7.81282
1,axo21.F4A,1.5464519,1.667250497181053e-14,7.7971964
1,axo10.E12,1.220988,2.494140278618535e-14,7.7459135
1,axo21.D9A,1.5361758,2.6062512287388885e-14,7.7397738
1,axo20.C1B,2.2714982,2.622859984949423e-14,7.7386913
1,axo8.B3A,1.2424389,4.26172389005399e-14,7.6756225
1,axo15.B7B,1.2389517,5.82803676487083e-14,7.635125
1,axo10.C8,1.1292163,6.540956658918635e-14,7.6199675
1,axo12.B7,1.2607315,6.679132834936728e-14,7.616994
1,axo10.B5,1.177958,7.132361383146512e-14,7.6082363
1,axo15.B11B,1.1924151,7.779618427980759e-14,7.5964503
1,axo10.H5,1.245357,8.325507693849267e-14,7.5873914
1,axo11.B5B,1.122864,8.839746736122475e-14,7.579073
1,axo21.A11A,1.5548885,1.234536051452591e-13,7.5345187
1,axo8.C12A,1.042638,1.448063903533009e-13,7.5134
1,axo15.C2,1.1356302,1.5074925859034532e-13,7.5078635
1,axo11.E11B,1.3352119,1.5490972660279657e-13,7.504026
1,axo15.G12B,1.3639629,1.5536779869008444e-13,7.5033684
1,axo10.A8B,1.216737,1.9089978165055802e-13,7.4757943
1,axo15.C1,1.2195686,2.128122694041052e-13,7.4609523
1,axo15.C12,1.218971,2.2245228147001361e-13,7.4543056
1,axo15.G8B,1.2620422,2.3584713208771183e-13,7.4460554
1,axo11.C4B,1.2335442,2.64528138322217e-13,7.4306235
1,axo11.B6B,1.3032151,2.716369046264331e-13,7.426581
1,axo29.D3B,1.2307492,3.355292018200308e-13,7.3983083
1,axo21.D1A,1.3620973,3.7137050159554507e-13,7.3845487
1,axo10.C1B,1.1015447,3.9482975404757927e-13,7.3758597
1,axo10.E7,1.1170343,4.4134194675861323e-13,7.3607435
1,axo21.D2A,1.407419,4.4262137991819345e-13,7.360072
1,axo21.G9B,1.5186404,4.817440442514678e-13,7.3482447
1,axo7.H7B,1.2191609,4.907971720613037e-13,7.3454905
1,axo15.A5,1.154031,9.341163180217444e-13,7.258123
1,axo11.A11B,1.0826595,9.885625936064697e-13,7.250188
1,axo10.D1,1.1139536,1.122431004066659e-12,7.232701
1,axo10.E3,1.0950936,1.3248030729460026e-12,7.209896
1,axo21.C2B,1.2611281,1.631507433091367e-12,7.180952
1,axo15.B9B,1.1092873,1.6485345596548788e-12,7.179266
1,axo10.F11,1.0404155,2.1162365760614524e-12,7.1447716
1,axo15.F4B,1.1182922,2.381864034707065e-12,7.1282434
1,axo10.D6,1.0602901,2.7041144128960103e-12,7.1096873
1,axo15.B12,1.1099788,3.4749303213084717e-12,7.0741925
1,axo10.G11,1.0250592,3.784993977839635e-12,7.0620637
1,axo10.A12B,1.2913426,4.2795656871398885e-12,7.044453
1,axo20.B1A,2.900369,4.7719252799855395e-12,7.029008
1,axo21.F1A,1.1300179,4.842109487164244e-12,7.0267057
1,axo15.C11B,1.4183791,5.206571835379865e-12,7.016304
1,axo16.B9B,1.1852134,5.348146432824845e-12,7.012288
1,axo15.F12,1.1654547,5.896019233769387e-12,6.9978437
1,axo11.A9B,1.1785406,7.74179278465618e-12,6.9590454
1,axo16.A8B,1.2871128,7.931377774180618e-12,6.955373
1,axo10.B11,1.0316865,1.000910993248208e-11,6.922235
1,axo11.C8B,1.0710571,1.0686098270180997e-11,6.9126964
1,axo10.D7,1.0672163,1.1131568132613289e-11,6.906639
1,axo13.H11B,1.1853925,1.4447850417683951e-11,6.8690057
1,axo16.D5B,1.2599818,1.5815958107425435e-11,6.855822
1,axo10.D10,1.2109385,1.656804023423094e-11,6.8489146
1,axo15.A7,1.0855647,1.9643599328905584e-11,6.8242464
1,axo15.D2B,1.0702784,2.024833543829504e-11,6.819628
1,axo21.A7B,1.1719759,2.1507374500521817e-11,6.8106923
1,axo21.G5B,1.3246012,2.9162444041615574e-11,6.7657
1,axo10.E5,1.14653,3.1090707488939804e-11,6.7561617
1,axo8.C10B,1.0695547,3.65490574261928e-11,6.7324114
1,axo11.D11B,1.0518943,4.047310217195708e-11,6.717035
1,axo10.E1,1.0239239,4.262691139493792e-11,6.7092094
1,axo15.A11B,1.0385282,4.6113110734750496e-11,6.6974645
1,axo15.D12B,1.0744613,4.752002364098318e-11,6.6925445
1,axo21.C7A,1.1992881,4.812874074536695e-11,6.69042
1,axo4.G3,1.1943239,5.865164240944701e-11,6.6609
1,axo21.C11B,1.2048807,6.867036230447007e-11,6.637424
1,axo21.G10A,1.3416009,9.5705451813772e-11,6.5875115
1,axo16.H7B,1.0468408,1.171656962510531e-10,6.5566077
1,axo16.E2,0.92629915,1.331922938913985e-10,6.5369277
1,axo16.A5B,1.091092,1.5252332764296547e-10,6.516357
1,axo8.G10A,1.1060971,1.5284173773216318e-10,6.5157814
1,axo21.H8A,1.0647892,1.8274206659535944e-10,6.4883857
1,axo15.H8B,0.91693395,1.911147267064325e-10,6.481369
1,axo15.C2B,1.2532434,2.3024914759380113e-10,6.452945
1,axo21.H3A,1.1871603,2.4881183698092934e-10,6.4409266
1,axo21.B2A,1.1867697,2.539825212589812e-10,6.4375415
1,axo10.B4,0.94992226,2.9249384415673254e-10,6.4155455
1,axo10.B2,1.033303,2.9249384415673254e-10,6.4155455
1,axo10.B6B,1.0472625,3.3120823376714896e-10,6.396057
1,axo21.H3B,0.9695271,3.640413529507471e-10,6.3813386
1,axo16.H3B,0.9988571,5.511909829956371e-10,6.3172555
1,axo10.B3B,1.0024391,6.086048750876378e-10,6.301125
1,axo15.G3,0.983952,6.192841110983391e-10,6.298165
1,axo21.E2A,1.1652026,6.238864327306102e-10,6.2967534
1,axo10.G3,1.013444,7.46935716922705e-10,6.2679873
1,axo21.B11B,1.1063106,9.366215897910737e-10,6.231327
1,axo10.G8B,1.0517569,1.1884705588637528e-09,6.1933923
1,axo10.H8,0.94398993,1.6782622754706212e-09,6.1377378
1,axo21.A4A,1.215488,2.4255245257218676e-09,6.07815
1,axo11.B3B,0.9507028,2.448782109971856e-09,6.0763545
1,axo10.D9,0.93424517,2.6349145332884293e-09,6.064061
1,axo16.B3,0.9755699,2.828120507234662e-09,6.0524125
1,axo10.A8,0.88091123,3.2823861468605773e-09,6.028114
1,axo21.E7B,1.1363328,3.6286943334565395e-09,6.0116134
1,axo21.E9B,1.216077,3.7381755705929656e-09,6.0065293
