cluster,gene,logfoldchanges,pvals_adj,scores
0,axo6.H4B,-1.5888056,1.5225848275205483e-38,-13.002518
0,axo29.G3A,-1.2492472,1.468533919969653e-38,-13.0053625
0,axo2.E7,-1.1197474,1.0037999596477053e-38,-13.034496
0,axo21.G7B,-1.9289799,9.259671923988204e-39,-13.040732
0,axo14.C4A,-0.99038815,6.644047582444217e-39,-13.066097
0,axo15.G3B,-1.4641886,6.446128890235361e-39,-13.06848
0,axo29.C2B,-1.2454932,4.394498341923678e-39,-13.097676
0,axo29.D5A,-1.3965354,3.789027089848553e-39,-13.109007
0,axo15.A4,-0.98076344,3.455742671238115e-39,-13.116069
0,axo14.D7A,-1.1888999,2.249673935147249e-39,-13.148651
0,axo9.G11A,-1.2261571,1.8859387684485957e-39,-13.162062
0,axo16.D9,-1.327479,1.812631337868627e-39,-13.165138
0,axo14.E2A,-0.9829998,1.7158463628073066e-39,-13.169363
0,axo29.H12A,-1.327618,1.488863752802909e-39,-13.180153
0,axo14.F10A,-1.27422,1.2649051733186527e-39,-13.192528
0,axo21.H6A,-1.497637,8.789013825212658e-40,-13.220022
0,axo10.H9,-1.2810082,8.009008616982097e-40,-13.227092
0,axo23.C9B,-1.2088027,6.1898833752195995e-40,-13.246529
0,axo9.A6A,-1.2562761,5.4535528247538615e-40,-13.256114
0,axo14.G5A,-1.2263923,2.037540892615532e-40,-13.329846
0,axo6.C4B,-1.2577672,1.831212898743286e-40,-13.33789
0,axo14.G9A,-1.3154753,1.6439730674361874e-40,-13.346011
0,axo7.E4B,-1.37447,1.504664696458892e-40,-13.352689
0,axo14.E4A,-1.0572406,1.3602252323920635e-40,-13.360284
0,axo20.G12B,-1.7845942,8.516000945357556e-41,-13.395178
0,axo6.G10B,-1.2615613,6.978649600355984e-41,-13.410032
0,axo6.E5B,-1.3365235,5.71109487008575e-41,-13.424971
0,axo9.F10A,-1.2043512,5.616049849069798e-41,-13.426294
0,axo29.D10A,-1.0656775,4.725495158456821e-41,-13.439159
0,axo15.H8B,-1.3221908,4.648537323547343e-41,-13.440455
0,axo13.E12B,-1.5261416,2.3616692527761583e-41,-13.490554
0,axo29.G12B,-1.3981044,2.0356515704650436e-41,-13.501582
0,axo14.H12A,-1.5488808,1.9197099946899027e-41,-13.505982
0,axo2.G8,-1.4769626,7.388638260112373e-42,-13.576198
0,axo2.A2,-1.2765452,7.278894768750409e-42,-13.577375
0,axo6.B9B,-1.2903317,6.610084594537245e-42,-13.584515
0,axo14.B10A,-1.3778212,4.034516511341702e-42,-13.620698
0,axo10.D4,-1.4495986,3.413780701499207e-42,-13.632974
0,axo21.B9A,-1.6157875,2.930622639549151e-42,-13.644185
0,axo2.E1,-1.3173485,2.8488409167075012e-42,-13.646329
0,axo9.D9A,-1.2929729,2.2682548157191398e-42,-13.663012
0,axo21.C9A,-1.351895,2.21508459087065e-42,-13.66482
0,axo14.A11A,-1.2665567,1.695787395860718e-42,-13.684334
0,axo9.A12A,-1.358927,1.6626954120046716e-42,-13.685847
0,axo14.F1A,-1.0403504,1.5577156590460306e-42,-13.690668
0,axo2.H1,-1.4419297,1.3669236116246687e-42,-13.700239
0,axo6.D8B,-1.5050691,1.0991070707967902e-42,-13.716145
0,axo6.B8B,-1.4483277,5.103642828921992e-43,-13.77175
0,axo3.H2,-1.0731623,3.684388511461778e-43,-13.795349
0,axo3.D8,-1.2983156,3.634446480650176e-43,-13.796414
0,axo7.H3B,-1.0178437,2.294327461932418e-43,-13.829626
0,axo3.H7,-1.249715,2.2458019152741606e-43,-13.831244
0,axo6.C12B,-1.3429016,1.1670314740993359e-43,-13.87833
0,axo29.G7B,-1.2253639,6.560310682299552e-44,-13.919642
0,axo14.F6A,-1.4093938,6.29967932609884e-44,-13.92262
0,axo9.E7A,-1.4403431,5.439632969831734e-44,-13.933187
0,axo13.G10B,-1.5163894,5.360426101318914e-44,-13.934315
0,axo13.G11B,-1.26806,4.47342202373084e-44,-13.947305
0,axo7.D4B,-1.5508761,4.2391910942881033e-44,-13.951221
0,axo29.B2B,-1.470871,4.2306805370818887e-44,-13.951447
0,axo29.F5B,-1.4636613,3.950823140572032e-44,-13.956407
0,axo8.H1B,-1.5188551,3.634663222032101e-44,-13.962433
0,axo29.F11A,-1.2929239,3.4912299941778075e-44,-13.965383
0,axo4.F4,-1.2311858,1.9312178806628991e-44,-14.007585
0,axo6.F6B,-1.4329721,1.6839515605146468e-44,-14.017394
0,axo15.F7B,-1.3099573,1.3209065743722351e-44,-14.0347
0,axo9.F7A,-1.4859515,1.2785889851471585e-44,-14.03709
0,axo9.D3A,-1.4675902,1.2149498626014317e-44,-14.04079
0,axo8.F1A,-1.4399418,1.0819303955679044e-44,-14.049086
0,axo9.H5A,-1.2744678,1.0307872945183448e-44,-14.052596
0,axo2.G10,-1.2436259,1.0071521468940002e-44,-14.054319
0,axo3.A3,-1.4029876,6.736586794984058e-45,-14.082845
0,axo14.C1A,-1.3253591,5.072287239512825e-45,-14.102961
0,axo14.B1A,-1.1290872,4.106255963127772e-45,-14.117941
0,axo20.D8B,-1.5930804,3.5219673308890213e-45,-14.128837
0,axo6.C8B,-1.539944,1.6820685601034455e-45,-14.180869
0,axo21.G8A,-1.5317914,1.1775747658002639e-45,-14.206031
0,axo10.E4,-1.2940207,1.0406491982741022e-45,-14.214768
0,axo2.C1,-1.1409025,9.286458603548862e-46,-14.222819
0,axo29.F12A,-1.3106657,8.521356336266281e-46,-14.228915
0,axo14.D8A,-1.0617305,5.11178774947479e-46,-14.264691
0,axo15.C5B,-1.9053289,4.997357592261592e-46,-14.266352
0,axo2.B1,-1.2121016,4.546815697644668e-46,-14.273023
0,axo3.G10,-1.3222989,3.931109300494364e-46,-14.283245
0,axo20.H1A,-1.8951422,3.692568264561261e-46,-14.287687
0,axo2.A10,-1.4287523,3.64519008841737e-46,-14.288669
0,axo29.H2B,-1.8368702,3.540600530087711e-46,-14.290778
0,axo12.C10,-1.3598257,3.4608731233906925e-46,-14.292445
0,axo9.C2A,-1.4451382,2.6840891208002406e-46,-14.310214
