Ortholog_Gene_Symbol,Axolotl_scRNA,Mouse_BulkRNA,Human_Proteomics,Conservation_Score
AXO16.A9B,True,False,False,1
AXO16.B1,True,False,False,1
AXO16.B10,True,False,False,1
AXO16.B10B,True,False,False,1
AXO16.B11B,True,False,False,1
AXO16.B12B,True,False,False,1
AXO16.B1B,True,False,False,1
AXO16.B2,True,False,False,1
AXO16.B2B,True,False,False,1
AXO16.B3,True,False,False,1
AXO16.B3B,True,False,False,1
AXO16.B6B,True,False,False,1
AXO16.B7B,True,False,False,1
AXO16.B9,True,False,False,1
AXO16.B9B,True,False,False,1
AXO16.C1,True,False,False,1
AXO16.C10,True,False,False,1
AXO16.C10B,True,False,False,1
AXO16.C11,True,False,False,1
AXO16.C11B,True,False,False,1
AXO16.C12,True,False,False,1
AXO16.C2,True,False,False,1
AXO16.C3,True,False,False,1
AXO16.C4,True,False,False,1
AXO16.C5B,True,False,False,1
AXO16.C6B,True,False,False,1
AXO16.C8,True,False,False,1
AXO16.C9,True,False,False,1
AXO16.C9B,True,False,False,1
AXO16.D1,True,False,False,1
AXO16.D10,True,False,False,1
AXO16.D10B,True,False,False,1
AXO16.D11,True,False,False,1
AXO16.D11B,True,False,False,1
AXO16.D12B,True,False,False,1
AXO16.D1B,True,False,False,1
AXO16.D3,True,False,False,1
AXO16.D3B,True,False,False,1
AXO16.D4,True,False,False,1
AXO16.D4B,True,False,False,1
AXO16.D5,True,False,False,1
AXO16.D5B,True,False,False,1
AXO16.D6,True,False,False,1
AXO16.D6B,True,False,False,1
AXO16.D7,True,False,False,1
AXO16.D7B,True,False,False,1
AXO16.D8B,True,False,False,1
AXO16.D9,True,False,False,1
AXO16.E1,True,False,False,1
AXO16.E11,True,False,False,1
AXO16.E12,True,False,False,1
AXO16.E12B,True,False,False,1
AXO16.E2,True,False,False,1
AXO16.E2B,True,False,False,1
AXO16.E4,True,False,False,1
AXO16.E4B,True,False,False,1
AXO16.E5,True,False,False,1
AXO16.E5B,True,False,False,1
AXO16.E7,True,False,False,1
AXO16.E8B,True,False,False,1
AXO16.E9,True,False,False,1
AXO16.E9B,True,False,False,1
AXO16.F12,True,False,False,1
AXO16.F1B,True,False,False,1
AXO16.F3,True,False,False,1
AXO16.F4,True,False,False,1
AXO16.F4B,True,False,False,1
AXO16.F5,True,False,False,1
AXO16.F5B,True,False,False,1
AXO16.F6,True,False,False,1
AXO16.F6B,True,False,False,1
AXO16.F7B,True,False,False,1
AXO16.F8B,True,False,False,1
AXO16.G10B,True,False,False,1
AXO16.G11,True,False,False,1
AXO16.G11B,True,False,False,1
AXO16.G12,True,False,False,1
AXO16.G1B,True,False,False,1
AXO16.G3B,True,False,False,1
AXO16.G4,True,False,False,1
AXO16.G4B,True,False,False,1
AXO16.G5,True,False,False,1
AXO16.G6,True,False,False,1
AXO16.G6B,True,False,False,1
AXO16.G8,True,False,False,1
AXO16.G8B,True,False,False,1
AXO16.G9,True,False,False,1
AXO16.H10,True,False,False,1
AXO16.H10B,True,False,False,1
AXO16.H12,True,False,False,1
AXO16.H12B,True,False,False,1
AXO16.H1B,True,False,False,1
AXO16.H2,True,False,False,1
AXO16.H2B,True,False,False,1
AXO16.H3B,True,False,False,1
AXO16.H4,True,False,False,1
AXO16.H4B,True,False,False,1
AXO16.H5,True,False,False,1
AXO16.H5B,True,False,False,1
AXO16.H6,True,False,False,1
AXO16.H6B,True,False,False,1
AXO16.H7,True,False,False,1
AXO16.H7B,True,False,False,1
AXO2.A1,True,False,False,1
AXO2.A10,True,False,False,1
AXO2.A12,True,False,False,1
AXO2.A2,True,False,False,1
AXO2.A3,True,False,False,1
AXO2.A4,True,False,False,1
AXO2.A7,True,False,False,1
AXO2.B1,True,False,False,1
AXO2.B11,True,False,False,1
AXO2.B3,True,False,False,1
AXO2.B7,True,False,False,1
AXO2.C1,True,False,False,1
AXO2.C2,True,False,False,1
AXO2.C3,True,False,False,1
AXO2.C4,True,False,False,1
AXO2.D10,True,False,False,1
AXO2.D11,True,False,False,1
AXO2.D12,True,False,False,1
AXO2.D4,True,False,False,1
AXO2.D6,True,False,False,1
AXO2.D8,True,False,False,1
AXO2.D9,True,False,False,1
AXO2.E1,True,False,False,1
AXO2.E11,True,False,False,1
AXO2.E4,True,False,False,1
AXO2.E6,True,False,False,1
AXO2.E7,True,False,False,1
AXO2.F1,True,False,False,1
AXO2.G1,True,False,False,1
AXO2.G10,True,False,False,1
AXO2.G3,True,False,False,1
AXO2.G4,True,False,False,1
AXO2.G6,True,False,False,1
AXO2.G8,True,False,False,1
AXO2.H1,True,False,False,1
AXO2.H12,True,False,False,1
AXO2.H5,True,False,False,1
AXO2.H6,True,False,False,1
AXO20.A12B,True,False,False,1
AXO20.A1A,True,False,False,1
AXO20.A2A,True,False,False,1
AXO20.A2B,True,False,False,1
AXO20.A3A,True,False,False,1
AXO20.A4A,True,False,False,1
AXO20.A5B,True,False,False,1
AXO20.A7B,True,False,False,1
AXO20.B10B,True,False,False,1
AXO20.B11A,True,False,False,1
AXO20.B12B,True,False,False,1
AXO20.B1A,True,False,False,1
AXO20.B2B,True,False,False,1
AXO20.B5B,True,False,False,1
AXO20.B6A,True,False,False,1
AXO20.B9B,True,False,False,1
AXO20.C1B,True,False,False,1
AXO20.C2B,True,False,False,1
AXO20.C7B,True,False,False,1
AXO20.C8B,True,False,False,1
AXO20.C9B,True,False,False,1
AXO20.D11A,True,False,False,1
AXO20.D11B,True,False,False,1
AXO20.D4B,True,False,False,1
AXO20.D6B,True,False,False,1
AXO20.D7B,True,False,False,1
AXO20.D8B,True,False,False,1
AXO20.E12A,True,False,False,1
AXO20.E3A,True,False,False,1
AXO20.E5B,True,False,False,1
AXO20.E6A,True,False,False,1
AXO20.E8A,True,False,False,1
AXO20.E9A,True,False,False,1
AXO20.F10A,True,False,False,1
AXO20.F2A,True,False,False,1
AXO20.F3A,True,False,False,1
AXO20.F4A,True,False,False,1
AXO20.F4B,True,False,False,1
AXO20.F7B,True,False,False,1
AXO20.F8A,True,False,False,1
AXO20.G11A,True,False,False,1
AXO20.G12B,True,False,False,1
AXO20.G5A,True,False,False,1
AXO20.G6A,True,False,False,1
AXO20.G8A,True,False,False,1
AXO20.H10B,True,False,False,1
AXO20.H12B,True,False,False,1
AXO20.H1A,True,False,False,1
AXO20.H3B,True,False,False,1
AXO20.H6A,True,False,False,1
AXO20.H6B,True,False,False,1
AXO21.A10A,True,False,False,1
AXO21.A11A,True,False,False,1
AXO21.A11B,True,False,False,1
AXO21.A12A,True,False,False,1
AXO21.A12B,True,False,False,1
AXO21.A1A,True,False,False,1
AXO21.A1B,True,False,False,1
AXO21.A2A,True,False,False,1
AXO21.A3A,True,False,False,1
AXO21.A3B,True,False,False,1
AXO21.A4A,True,False,False,1
AXO21.A4B,True,False,False,1
AXO21.A5A,True,False,False,1
